city_development_index,experience,enrolled_university,relevent_experience,education_level,company_type,major_discipline,target,target_label
0.92,21.0,No enrollment,Has relevent experience,Graduate,Other,STEM,1.0,Procurando novo emprego
0.7759999999999999,15.0,No enrollment,No relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.624,5.0,Full time course,No relevent experience,Graduate,Other,STEM,0.0,Não procurando emprego
0.789,1.0,Other,No relevent experience,Graduate,Pvt Ltd,Business Degree,1.0,Procurando novo emprego
0.767,21.0,No enrollment,Has relevent experience,Masters,Funded Startup,STEM,0.0,Não procurando emprego
0.764,11.0,Part time course,Has relevent experience,Graduate,Other,STEM,1.0,Procurando novo emprego
0.92,5.0,No enrollment,Has relevent experience,High School,Funded Startup,Non Degree,0.0,Não procurando emprego
0.762,13.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,1.0,Procurando novo emprego
0.92,7.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,1.0,Procurando novo emprego
0.92,17.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.624,2.0,Full time course,No relevent experience,High School,Other,Non Degree,1.0,Procurando novo emprego
0.92,5.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.913,21.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.624,2.0,Other,No relevent experience,Other,Other,Non Degree,0.0,Não procurando emprego
0.624,5.0,Full time course,No relevent experience,High School,Other,Non Degree,0.0,Não procurando emprego
0.926,16.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.92,1.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.624,2.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.624,7.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,1.0,Procurando novo emprego
0.8270000000000001,4.0,No enrollment,Has relevent experience,Graduate,Other,Arts,1.0,Procurando novo emprego
0.843,11.0,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0,Não procurando emprego
0.926,11.0,No enrollment,Has relevent experience,Masters,Pvt Ltd,STEM,0.0,Não procurando emprego
0.804,10.0,No enrollment,Has relevent experience,Masters,Other,STEM,0.0,Não procurando emprego
0.7759999999999999,1.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,Humanities,0.0,Não procurando emprego
0.624,5.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.855,4.0,No enrollment,No relevent experience,High School,Other,Non Degree,0.0,Não procurando emprego
0.624,14.0,Part time course,Has relevent experience,Graduate,Pvt Ltd,STEM,1.0,Procurando novo emprego
0.92,5.0,No enrollment,Has relevent experience,Graduate,Other,Arts,0.0,Não procurando emprego
0.887,11.0,No enrollment,Has relevent experience,High School,Pvt Ltd,Non Degree,1.0,Procurando novo emprego
0.624,18.0,No enrollment,Has relevent experience,Graduate,Funded Startup,STEM,1.0,Procurando novo emprego
0.92,21.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.92,19.0,Part time course,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.92,5.0,Full time course,No relevent experience,Graduate,Other,STEM,0.0,Não procurando emprego
0.92,21.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.91,12.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,Business Degree,0.0,Não procurando emprego
0.92,10.0,No enrollment,Has relevent experience,Graduate,Early Stage Startup,STEM,0.0,Não procurando emprego
0.926,1.0,Part time course,No relevent experience,High School,Other,Non Degree,0.0,Não procurando emprego
0.926,21.0,No enrollment,Has relevent experience,Phd,Pvt Ltd,STEM,1.0,Procurando novo emprego
0.92,12.0,No enrollment,No relevent experience,Graduate,Other,STEM,0.0,Não procurando emprego
0.884,3.0,No enrollment,No relevent experience,Other,Other,Non Degree,0.0,Não procurando emprego
0.926,16.0,Full time course,Has relevent experience,Masters,Public Sector,STEM,0.0,Não procurando emprego
0.924,4.0,No enrollment,Has relevent experience,High School,Pvt Ltd,Non Degree,0.0,Não procurando emprego
0.624,6.0,No enrollment,Has relevent experience,Masters,Early Stage Startup,STEM,1.0,Procurando novo emprego
0.6659999999999999,9.0,No enrollment,No relevent experience,Graduate,Pvt Ltd,No Major,0.0,Não procurando emprego
0.624,9.0,Part time course,Has relevent experience,Masters,Pvt Ltd,STEM,1.0,Procurando novo emprego
0.624,5.0,Full time course,No relevent experience,Masters,Other,STEM,1.0,Procurando novo emprego
0.624,5.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,1.0,Procurando novo emprego
0.92,19.0,No enrollment,Has relevent experience,Graduate,Public Sector,STEM,1.0,Procurando novo emprego
0.5579999999999999,15.0,No enrollment,Has relevent experience,Graduate,Other,No Major,1.0,Procurando novo emprego
0.923,11.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.5579999999999999,4.0,No enrollment,No relevent experience,Graduate,Other,STEM,1.0,Procurando novo emprego
0.6659999999999999,10.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.794,5.0,No enrollment,No relevent experience,Graduate,Pvt Ltd,Humanities,0.0,Não procurando emprego
0.924,3.0,No enrollment,Has relevent experience,Masters,Early Stage Startup,STEM,0.0,Não procurando emprego
0.926,4.0,Full time course,No relevent experience,High School,Pvt Ltd,Non Degree,0.0,Não procurando emprego
0.924,21.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.754,2.0,Full time course,Has relevent experience,Graduate,Early Stage Startup,STEM,0.0,Não procurando emprego
0.92,21.0,No enrollment,Has relevent experience,Graduate,Other,STEM,0.0,Não procurando emprego
0.624,2.0,Full time course,Has relevent experience,Graduate,Funded Startup,STEM,1.0,Procurando novo emprego
0.767,21.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,Humanities,1.0,Procurando novo emprego
0.855,6.0,Part time course,Has relevent experience,Graduate,Other,STEM,0.0,Não procurando emprego
0.939,6.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,0.0,Não procurando emprego
0.8270000000000001,13.0,Other,Has relevent experience,Masters,Other,STEM,0.0,Não procurando emprego
0.887,21.0,No enrollment,Has relevent experience,Masters,Pvt Ltd,Humanities,0.0,Não procurando emprego
0.55,3.0,Full time course,No relevent experience,High School,Other,Non Degree,0.0,Não procurando emprego
0.865,10.0,No enrollment,Has relevent experience,Graduate,Pvt Ltd,STEM,1.0,Procurando novo emprego
0.855,4.0,No enrollment,No relevent experience,Masters,Pvt Ltd,Humanities,0.0,Não procurando emprego
0.91,15.0,No enrollment,Has relevent experience,Graduate,Other,STEM,0.0,Não procurando emprego
0.91,14.0,No enrollment,Has relevent experience,Masters,Public Sector,Humanities,0.0,Não procurando emprego
0.698,2.0,Other,No relevent experience,Other,Pvt Ltd,Non Degree,1.0,Procurando novo emprego
