variavel_1,variavel_2,correlacao
city_development_index,city_development_index,1.0
city_development_index,experience,0.301
city_development_index,last_new_job,0.1827
city_development_index,training_hours,0.0075
city_development_index,target,-0.2792
experience,city_development_index,0.301
experience,experience,1.0
experience,last_new_job,0.4733
experience,training_hours,0.0036
experience,target,-0.1837
last_new_job,city_development_index,0.1827
last_new_job,experience,0.4733
last_new_job,last_new_job,1.0
last_new_job,training_hours,0.003
last_new_job,target,-0.082
training_hours,city_development_index,0.0075
training_hours,experience,0.0036
training_hours,last_new_job,0.003
training_hours,training_hours,1.0
training_hours,target,-0.0141
target,city_development_index,-0.2792
target,experience,-0.1837
target,last_new_job,-0.082
target,training_hours,-0.0141
target,target,1.0
