variavel,categoria,proporcao_target_0,proporcao_target_1,woe,iv
gender,Female,0.08098028769312733,0.09622195985832349,0.17245184133499508,0.0033368541061265774
gender,Male,0.9064997336174747,0.8890200708382526,-0.019470924206612415,0.0033368541061265774
gender,Other,0.012519978689397976,0.01475796930342385,0.1644575650925967,0.0033368541061265774
relevent_experience,Has relevent experience,0.7531465127598915,0.6198450910613356,-0.19479018723772804,0.08352320772215559
relevent_experience,No relevent experience,0.24685348724010847,0.38015490893866444,0.431783833188195,0.08352320772215559
enrolled_university,Full time course,0.1647542144779714,0.30747743876235495,0.6239469605710215,0.11888554785198396
enrolled_university,Part time course,0.06346508003966568,0.06489041684572411,0.02221011849311956,0.11888554785198396
enrolled_university,no_enrollment,0.771780705482363,0.6276321443919209,-0.20674621190837228,0.11888554785198396
education_level,Graduate,0.5955793226381462,0.6944147228760967,0.1535347820727549,0.05116980174634249
education_level,High School,0.11572192513368984,0.08431414508880805,-0.31664047052618643,0.05116980174634249
education_level,Masters,0.24427807486631017,0.20008559811684143,-0.19956196190490735,0.05116980174634249
education_level,Phd,0.02538324420677362,0.012411726942007276,-0.7154475326151403,0.05116980174634249
education_level,Primary School,0.019037433155080215,0.008773806976246523,-0.7746364040054708,0.05116980174634249
major_discipline,Arts,0.01650573574317075,0.012535477767265846,-0.2751450957545205,0.004148266501347431
major_discipline,Business Degree,0.019889411570520755,0.02034058656575213,0.022430720004247215,0.004148266501347431
major_discipline,Humanities,0.043575142361970784,0.033349101229895935,-0.2674560360866987,0.004148266501347431
major_discipline,No Major,0.01386481802426343,0.013008514664143803,-0.06375043692939361,0.004148266501347431
major_discipline,Other,0.0230255013617232,0.024124881740775782,0.046641388704299735,0.004148266501347431
major_discipline,STEM,0.883139390938351,0.8966414380321666,0.01517299873072799,0.004148266501347431
company_type,Early Stage Startup,0.043388235294117644,0.05933974091099039,0.3130909204888565,0.01777167651250217
company_type,Funded Startup,0.08103529411764705,0.05850396991224405,-0.3257901759341821,0.01777167651250217
company_type,NGO,0.03990588235294118,0.04053489343919766,0.01563942915566929,0.01777167651250217
company_type,Other,0.008658823529411764,0.01211867948182198,0.33616915882167797,0.01777167651250217
company_type,Public Sector,0.07011764705882353,0.08775595486836607,0.22438521822215335,0.01777167651250217
company_type,Pvt Ltd,0.7568941176470588,0.7417467613873798,-0.020215479663458984,0.01777167651250217
